Champion,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G.1,G/M,DMG,DMG/M,KPAR,KS,GS,Lane
Sivir,12,8,11,1,91.7%,5.25,1.42,8.42,9.65,329.83,10.27,15.5,483,22.3k,696,84.1%,32.3%,25.9%,Bot
Caitlyn,11,9,4,7,36.4%,3.0,2.0,3.64,3.32,305.45,9.41,13.7,422,17.8k,548,61.9%,28%,24.3%,Bot
Ezreal,9,6,4,5,44.4%,2.56,1.67,3.0,3.33,285.56,9.63,13.0,437,20.3k,686,52.1%,24%,24.2%,Bot
Draven,8,6,3,5,37.5%,3.88,3.25,1.75,1.73,277.5,8.83,14.2,453,14.2k,452,63.4%,43.7%,26%,Bot
Seraphine,7,3,2,5,28.6%,2.57,2.29,6.57,4.0,262.0,8.42,11.7,377,14.8k,476,77.1%,21.7%,21.7%,Bot
Jinx,5,4,4,1,80%,2.8,0.8,6.8,12.0,277.6,9.74,12.8,448,14.8k,518,69.6%,20.3%,22.9%,Bot
Ashe,5,3,3,2,60%,4.2,3.0,6.0,3.4,281.2,8.58,13.8,420,17.1k,522,63%,25.9%,21.8%,Bot
Xayah,5,5,1,4,20%,3.0,1.8,2.8,3.22,337.2,10.05,14.3,425,17.1k,509,74.4%,38.5%,25.7%,Bot
Jhin,2,2,1,1,50%,2.0,2.0,7.0,4.5,227.0,7.91,11.0,384,14.2k,493,75%,16.7%,20.2%,Bot
Nilah,2,2,0,2,0%,2.5,2.0,5.0,3.75,354.5,9.65,15.1,411,14.9k,406,75%,25%,25.3%,Bot
Senna,2,2,0,2,0%,0.5,3.0,5.5,2.0,65.0,1.87,9.3,269,9.8k,284,80%,6.7%,15.8%,Bot
Samira,1,1,0,1,0%,1.0,4.0,7.0,2.0,298.0,9.68,11.8,382,9.4k,306,66.7%,8.3%,23.6%,Bot
Nami,27,9,16,11,59.3%,0.81,2.22,10.0,4.87,13.48,0.43,7.7,247,6.1k,195,78.9%,5.9%,13.3%,Support
Leona,27,16,10,17,37%,0.63,3.85,7.59,2.13,35.11,1.14,7.1,231,3.5k,113,68.7%,5.3%,13.1%,Support
Renata Glasc,21,12,12,9,57.1%,0.86,2.52,9.0,3.91,22.52,0.73,7.4,241,5.1k,164,74.5%,6.5%,13.4%,Support
Amumu,19,9,12,7,63.2%,1.21,4.0,10.74,2.99,35.68,1.13,7.7,244,5.7k,179,69%,7%,13.1%,Support
